open_time,open,high,low,close,volume
1780027200000,4494.26,4519.72,4494.26,4519.22,500.2413
1780041600000,4519.21,4536.0,4506.85,4532.2,407.7013
1780056000000,4532.5,4584.62,4508.18,4562.55,1368.6414
1780070400000,4562.55,4564.55,4536.05,4537.74,433.2298
1780084800000,4537.73,4540.88,4526.05,4534.99,304.3929
1780099200000,4535.0,4538.72,4532.19,4532.51,275.5084
1780113600000,4532.52,4533.45,4525.0,4528.01,115.4381
1780128000000,4528.01,4534.64,4527.93,4530.03,149.542
1780142400000,4530.03,4533.5,4526.0,4527.79,109.1404
1780156800000,4528.16,4528.48,4524.38,4526.99,78.2964
1780171200000,4526.99,4527.12,4522.53,4523.42,82.4064
1780185600000,4523.43,4528.0,4521.45,4522.92,148.9583
1780200000000,4522.92,4536.24,4520.7,4534.86,170.4251
1780214400000,4534.86,4536.23,4531.01,4533.08,86.026
1780228800000,4533.09,4537.35,4529.99,4531.43,112.3236
1780243200000,4531.43,4534.72,4530.65,4531.31,93.2937
1780257600000,4531.31,4539.48,4514.72,4535.0,418.1181
1780272000000,4534.99,4540.56,4505.01,4508.94,1253.8353
1780286400000,4508.95,4517.92,4490.01,4497.67,394.1492
1780300800000,4497.68,4507.84,4487.51,4503.1,472.0108
1780315200000,4503.09,4505.68,4448.33,4474.44,1650.4525
1780329600000,4474.71,4495.15,4464.19,4480.38,431.9081
1780344000000,4480.65,4485.23,4478.0,4482.21,186.7726
1780358400000,4481.76,4495.22,4462.29,4494.76,342.649
1780372800000,4494.77,4534.99,4494.43,4529.76,1271.8578
1780387200000,4529.85,4533.0,4515.85,4521.37,448.6498
1780401600000,4521.76,4528.31,4487.19,4498.79,747.9709
1780416000000,4498.79,4499.75,4477.41,4485.1,795.8188
1780430400000,4485.1,4489.43,4456.53,4470.86,529.3722
1780444800000,4471.04,4491.2,4460.68,4478.3,356.03
1780459200000,4478.3,4481.68,4450.99,4450.99,439.3066
1780473600000,4450.99,4463.5,4437.0,4459.26,756.3189
1780488000000,4459.26,4462.76,4426.43,4438.59,656.9862
1780502400000,4438.75,4449.96,4431.07,4441.0,901.3293
1780516800000,4441.01,4459.05,4422.0,4452.41,559.9146
1780531200000,4452.45,4472.56,4438.65,4459.74,1420.7117
1780545600000,4459.65,4477.31,4454.01,4455.62,522.7946
1780560000000,4455.63,4507.44,4452.99,4505.88,646.0004
1780574400000,4505.7,4514.01,4455.0,4474.83,1207.2376
1780588800000,4474.84,4482.34,4467.61,4476.0,714.7709
1780603200000,4475.98,4476.0,4455.91,4456.21,328.4582
1780617600000,4456.21,4463.12,4425.78,4434.85,1376.6924
1780632000000,4435.5,4464.07,4422.81,4457.11,864.5187
1780646400000,4457.1,4467.06,4452.94,4462.08,506.1377
1780660800000,4462.09,4468.74,4333.24,4334.35,3203.3138
1780675200000,4334.34,4347.92,4311.44,4317.34,1068.9238
1780689600000,4317.33,4337.6,4310.59,4321.34,508.7183
1780704000000,4321.6,4333.19,4314.18,4315.0,208.8301
1780718400000,4315.01,4315.96,4292.0,4306.79,649.7097
1780732800000,4306.79,4308.86,4291.0,4298.44,503.9989
1780747200000,4298.44,4300.0,4291.12,4291.38,373.0035
1780761600000,4291.38,4298.43,4290.02,4293.63,219.1815
1780776000000,4293.63,4300.0,4290.01,4299.99,282.0667
1780790400000,4300.0,4311.45,4296.0,4307.15,340.6531
1780804800000,4307.16,4313.77,4300.63,4313.19,622.904
1780819200000,4313.19,4323.77,4307.56,4311.1,502.5259
1780833600000,4311.1,4311.1,4294.25,4304.06,921.32
1780848000000,4304.07,4312.95,4297.09,4305.3,378.8766
1780862400000,4305.28,4338.53,4302.81,4336.87,764.2276
1780876800000,4336.86,4345.78,4293.08,4310.89,748.4705
1780891200000,4310.89,4315.3,4264.1,4289.15,712.6109
1780905600000,4289.16,4325.3,4268.11,4323.75,850.7524
1780920000000,4323.74,4338.31,4310.22,4333.99,734.5838
1780934400000,4334.0,4338.14,4318.0,4320.26,347.0044
1780948800000,4319.85,4329.48,4307.42,4310.54,172.6031
1780963200000,4310.73,4333.87,4307.01,4329.11,259.995
1780977600000,4329.09,4342.77,4315.79,4318.32,506.38
1780992000000,4318.32,4333.87,4312.74,4331.66,454.3784
1781006400000,4331.6,4354.58,4258.73,4268.8,1058.8201
1781020800000,4268.58,4276.38,4231.93,4254.77,1009.9165
1781035200000,4254.77,4258.42,4208.3,4218.22,517.4065
1781049600000,4218.28,4223.88,4172.76,4184.18,1411.0327
1781064000000,4184.19,4219.83,4172.28,4185.95,536.1626
1781078400000,4185.75,4186.25,4146.23,4147.94,1178.2039
1781092800000,4147.94,4184.61,4116.06,4127.97,1469.3628
